"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 21 15:11:13 UTC 2025","Mon Jul 21 15:11:17 UTC 2025","4346","","tests.junit5.ui.base_tests.selenium.elements.SimpleSeleniumTests","","tests.junit5.ui.base_tests.selenium.elements.SimpleSeleniumTests","simpleFormTest","simpleFormTest()",""
"passed","Mon Jul 21 15:03:23 UTC 2025","Mon Jul 21 15:03:29 UTC 2025","5539","","tests.junit5.ui.base_tests.selenium.CopyruemCalculatorTests","","tests.junit5.ui.base_tests.selenium.CopyruemCalculatorTests","checkTotalSumTest","checkTotalSumTest(String, String, String, String, String) [9] А2, Цветная, заливка до 20%, Нет, 1, 46",""
"passed","Mon Jul 21 15:10:08 UTC 2025","Mon Jul 21 15:10:13 UTC 2025","4420","","tests.junit5.ui.base_tests.selenium.elements.HardElementsTests","","tests.junit5.ui.base_tests.selenium.elements.HardElementsTests","hoverTest","hoverTest()",""
"failed","Mon Jul 21 14:58:00 UTC 2025","Mon Jul 21 14:58:00 UTC 2025","64","","tests.junit5.api.tests.fakeapi.SimpleApiTests","","tests.junit5.api.tests.fakeapi.SimpleApiTests","addNewUserTest","addNewUserTest()",""
"passed","Mon Jul 21 14:59:28 UTC 2025","Mon Jul 21 14:59:29 UTC 2025","409","","tests.junit5.api.tests.swagger.UserNewTests","","tests.junit5.api.tests.swagger.UserNewTests","positiveRegisterTest","positiveRegisterTest()",""
"passed","Mon Jul 21 14:59:27 UTC 2025","Mon Jul 21 14:59:28 UTC 2025","763","","tests.junit5.api.tests.swagger.UserNewTests","","tests.junit5.api.tests.swagger.UserNewTests","negativeDeleteAdminTest","negativeDeleteAdminTest()",""
"broken","Mon Jul 21 15:11:35 UTC 2025","Mon Jul 21 15:11:38 UTC 2025","3547","","tests.junit5.ui.pdf_xls.SelenideFileTests","","tests.junit5.ui.pdf_xls.SelenideFileTests","readXlsxBrowserTest","readXlsxBrowserTest()",""
"passed","Mon Jul 21 15:03:34 UTC 2025","Mon Jul 21 15:03:39 UTC 2025","4879","","tests.junit5.ui.base_tests.selenium.CopyruemCalculatorTests","","tests.junit5.ui.base_tests.selenium.CopyruemCalculatorTests","checkTotalSumTest","checkTotalSumTest(String, String, String, String, String) [10] А1, Цветная, заливка до 20%, В формат А3, 1, 107",""
"passed","Mon Jul 21 15:09:07 UTC 2025","Mon Jul 21 15:09:13 UTC 2025","6920","","tests.junit5.ui.base_tests.selenium.elements.HardElementsTests","","tests.junit5.ui.base_tests.selenium.elements.HardElementsTests","startProgressBar","startProgressBar(int) [1] 25",""
"passed","Mon Jul 21 14:59:37 UTC 2025","Mon Jul 21 14:59:37 UTC 2025","747","","tests.junit5.api.tests.swagger.UserNewTests","","tests.junit5.api.tests.swagger.UserNewTests","negativeRegisterLoginExistsTest","negativeRegisterLoginExistsTest()",""
"passed","Mon Jul 21 14:59:15 UTC 2025","Mon Jul 21 14:59:17 UTC 2025","2338","","tests.junit5.api.tests.swagger.GameTests","","tests.junit5.api.tests.swagger.GameTests","updateFieldWithIncorrectType","updateFieldWithIncorrectType()",""
"passed","Mon Jul 21 14:58:53 UTC 2025","Mon Jul 21 14:58:55 UTC 2025","1955","","tests.junit5.api.tests.swagger.GameTests","","tests.junit5.api.tests.swagger.GameTests","deleteDlcGameNotFound","deleteDlcGameNotFound()",""
"passed","Mon Jul 21 14:58:10 UTC 2025","Mon Jul 21 14:58:10 UTC 2025","455","","tests.junit5.api.tests.petsapi.PetTestRefactor","","tests.junit5.api.tests.petsapi.PetTestRefactor","updatePetTest","updatePetTest()",""
"failed","Mon Jul 21 14:57:59 UTC 2025","Mon Jul 21 14:57:59 UTC 2025","66","","tests.junit5.api.tests.fakeapi.SimpleApiRefactoredTests","","tests.junit5.api.tests.fakeapi.SimpleApiRefactoredTests","getAllUsersWithLimitErrorParams","getAllUsersWithLimitErrorParams(int) [2] 40",""
